pax,group,session,trial,rt,item,age
sub-test001,test,T1,trial15,537.8847714212195,item3,16.627399540678038
sub-test001,test,T1,trial16,557.1445266349734,item4,16.627399540678038
sub-test001,test,T1,trial17,535.0370286352679,item4,16.627399540678038
sub-test001,test,T1,trial18,564.6552082378441,item4,16.627399540678038
sub-test001,test,T1,trial19,534.5619881287222,item4,16.627399540678038
sub-test001,test,T1,trial20,534.8511550531581,item4,16.627399540678038
sub-control002,control,T0,trial1,889.9364057257924,item1,8.516976909253948
sub-control002,control,T0,trial2,917.7757054009196,item1,8.516976909253948
sub-control002,control,T0,trial3,881.513932379632,item1,8.516976909253948
sub-control002,control,T0,trial4,885.2509988869754,item1,8.516976909253948
sub-control002,control,T0,trial5,930.4138278764748,item1,8.516976909253948
sub-control002,control,T0,trial6,874.4604582692739,item2,8.516976909253948
sub-control002,control,T0,trial7,873.8739133036571,item2,8.516976909253948
sub-control002,control,T0,trial8,896.1458861794047,item2,8.516976909253948
sub-control002,control,T0,trial9,847.1102345510149,item2,8.516976909253948
sub-control002,control,T0,trial10,879.1356244136539,item2,8.516976909253948
sub-control002,control,T0,trial11,870.2028338144628,item3,8.516976909253948
sub-control002,control,T0,trial12,837.4075146726428,item3,8.516976909253948
sub-control002,control,T0,trial13,854.21178970129165,item3,8.516976909253948
sub-control002,control,T0,trial14,880.9724001446681,item3,8.516976909253948
sub-control002,control,T0,trial15,873.8284638318192,item3,8.516976909253948
sub-control002,control,T0,trial16,893.0882190455732,item4,8.516976909253948
sub-control002,control,T0,trial17,870.9807210458678,item4,8.516976909253948
sub-control002,control,T0,trial18,900.5989006484439,item4,8.516976909253948
sub-control002,control,T0,trial19,870.5056805393219,item4,8.516976909253948
sub-control002,control,T0,trial20,870.7948474637578,item4,8.516976909253948
sub-control002,control,T1,trial1,764.5430866866911,item1,8.516976909253948
sub-control002,control,T1,trial2,792.3823863618184,item1,8.516976909253948
sub-control002,control,T1,trial3,756.1206133405308,item1,8.516976909253948
sub-control002,control,T1,trial4,759.8576798478741,item1,8.516976909253948
sub-control002,control,T1,trial5,805.0205088373735,item1,8.516976909253948
sub-control002,control,T1,trial6,749.0671392301726,item2,8.516976909253948
sub-control002,control,T1,trial7,748.4805942645559,item2,8.516976909253948
sub-control002,control,T1,trial8,770.7525671403034,item2,8.516976909253948
sub-control002,control,T1,trial9,721.7169155119136,item2,8.516976909253948
sub-control002,control,T1,trial10,753.7423053745526,item2,8.516976909253948
sub-control002,control,T1,trial11,744.8095147753615,item3,8.516976909253948
sub-control002,control,T1,trial12,712.0141956335416,item3,8.516976909253948
sub-control002,control,T1,trial13,728.8184706621904,item3,8.516976909253948
sub-control002,control,T1,trial14,755.5790811055668,item3,8.516976909253948
sub-control002,control,T1,trial15,748.435144792718,item3,8.516976909253948
sub-control002,control,T1,trial16,767.6949000064719,item4,8.516976909253948
sub-control002,control,T1,trial17,745.5874020067665,item4,8.516976909253948
sub-control002,control,T1,trial18,775.2055816093426,item4,8.516976909253948
sub-control002,control,T1,trial19,745.1123615002207,item4,8.516976909253948
sub-control002,control,T1,trial20,745.4015284246566,item4,8.516976909253948
sub-test002,test,T0,trial1,929.6293436315104,item1,14.816608269087029
sub-test002,test,T0,trial2,957.4686433066375,item1,14.816608269087029
sub-test002,test,T0,trial3,921.20687028535,item1,14.816608269087029
sub-test002,test,T0,trial4,924.9439367926933,item1,14.816608269087029
sub-test002,test,T0,trial5,970.1067657821927,item1,14.816608269087029
sub-test002,test,T0,trial6,914.1533961749918,item2,14.816608269087029
sub-test002,test,T0,trial7,913.566851209375,item2,14.816608269087029
sub-test002,test,T0,trial8,935.8388240851226,item2,14.816608269087029
sub-test002,test,T0,trial9,886.8031724567328,item2,14.816608269087029
sub-test002,test,T0,trial10,918.8285623193718,item2,14.816608269087029
sub-test002,test,T0,trial11,909.8957717201807,item3,14.816608269087029
sub-test002,test,T0,trial12,877.1004525783608,item3,14.816608269087029
sub-test002,test,T0,trial13,893.9047276070096,item3,14.816608269087029
sub-test002,test,T0,trial14,920.665338050386,item3,14.816608269087029
sub-test002,test,T0,trial15,913.5214017375372,item3,14.816608269087029
sub-test002,test,T0,trial16,932.7811569512912,item4,14.816608269087029
sub-test002,test,T0,trial17,910.6736589515857,item4,14.816608269087029
sub-test002,test,T0,trial18,940.2918385541618,item4,14.816608269087029
sub-test002,test,T0,trial19,910.1986184450399,item4,14.816608269087029
sub-test002,test,T0,trial20,910.4877853694758,item4,14.816608269087029
sub-test002,test,T1,trial1,581.0768605792948,item1,14.816608269087029
sub-test002,test,T1,trial2,608.9161602544219,item1,14.816608269087029
sub-test002,test,T1,trial3,572.6543872331343,item1,14.816608269087029
sub-test002,test,T1,trial4,576.3914537404777,item1,14.816608269087029
sub-test002,test,T1,trial5,621.5542827299771,item1,14.816608269087029
sub-test002,test,T1,trial6,565.6009131227762,item2,14.816608269087029
sub-test002,test,T1,trial7,565.0143681571594,item2,14.816608269087029
sub-test002,test,T1,trial8,587.286341032907,item2,14.816608269087029
sub-test002,test,T1,trial9,538.2506894045172,item2,14.816608269087029
sub-test002,test,T1,trial10,570.2760792671562,item2,14.816608269087029
sub-test002,test,T1,trial11,561.3432886679651,item3,14.816608269087029
sub-test002,test,T1,trial12,528.5479695261452,item3,14.816608269087029
sub-test002,test,T1,trial13,545.352244554794,item3,14.816608269087029
sub-test002,test,T1,trial14,572.1128549981704,item3,14.816608269087029
sub-test002,test,T1,trial15,564.9689186853216,item3,14.816608269087029
sub-test002,test,T1,trial16,584.2286738990756,item4,14.816608269087029
sub-test002,test,T1,trial17,562.1211758993701,item4,14.816608269087029
sub-test002,test,T1,trial18,591.7393555019462,item4,14.816608269087029
sub-test002,test,T1,trial19,561.6461353928242,item4,14.816608269087029
sub-test002,test,T1,trial20,561.9353023172602,item4,14.816608269087029
sub-control003,control,T0,trial1,911.0105032376125,item1,7.220962734581981
sub-control003,control,T0,trial2,938.8498029127396,item1,7.220962734581981
sub-control003,control,T0,trial3,902.588029891452,item1,7.220962734581981
sub-control003,control,T0,trial4,906.3250963987954,item1,7.220962734581981
sub-control003,control,T0,trial5,951.4879253882948,item1,7.220962734581981
sub-control003,control,T0,trial6,895.5345557810939,item2,7.220962734581981
sub-control003,control,T0,trial7,894.9480108154771,item2,7.220962734581981
sub-control003,control,T0,trial8,917.2199836912247,item2,7.220962734581981
sub-control003,control,T0,trial9,868.1843320628349,item2,7.220962734581981
sub-control003,control,T0,trial10,900.2097219254739,item2,7.220962734581981
sub-control003,control,T0,trial11,891.2769313262828,item3,7.220962734581981
sub-control003,control,T0,trial12,858.4816121844628,item3,7.220962734581981
sub-control003,control,T0,trial13,875.2858872131117,item3,7.220962734581981
sub-control003,control,T0,trial14,902.0464976564881,item3,7.220962734581981
sub-control003,control,T0,trial15,894.9025613436393,item3,7.220962734581981
sub-control003,control,T0,trial16,914.1623165573933,item4,7.220962734581981
sub-control003,control,T0,trial17,892.0548185576878,item4,7.220962734581981
sub-control003,control,T0,trial18,921.6729981602639,item4,7.220962734581981
sub-control003,control,T0,trial19,891.579778051142,item4,7.220962734581981
sub-control003,control,T0,trial20,891.8689449755778,item4,7.220962734581981
sub-control003,control,T1,trial1,786.1525574814602,item1,7.220962734581981
sub-control003,control,T1,trial2,813.9918571565873,item1,7.220962734581981
sub-control003,control,T1,trial3,777.7300841352998,item1,7.220962734581981
sub-control003,control,T1,trial4,781.4671506426431,item1,7.220962734581981
sub-control003,control,T1,trial5,826.6299796321425,item1,7.220962734581981
sub-control003,control,T1,trial6,770.6766100249416,item2,7.220962734581981
sub-control003,control,T1,trial7,770.0900650593248,item2,7.220962734581981
sub-control003,control,T1,trial8,792.3620379350724,item2,7.220962734581981
sub-control003,control,T1,trial9,743.3263863066826,item2,7.220962734581981
sub-control003,control,T1,trial10,775.3517761693216,item2,7.220962734581981
sub-control003,control,T1,trial11,766.4189855701305,item3,7.220962734581981
sub-control003,control,T1,trial12,733.6236664283106,item3,7.220962734581981
sub-control003,control,T1,trial13,750.4279414569594,item3,7.220962734581981
sub-control003,control,T1,trial14,777.1885519003358,item3,7.220962734581981
sub-control003,control,T1,trial15,770.044615587487,item3,7.220962734581981
sub-control003,control,T1,trial16,789.304370801241,item4,7.220962734581981
sub-control003,control,T1,trial17,767.1968728015355,item4,7.220962734581981
sub-control003,control,T1,trial18,796.8150524041116,item4,7.220962734581981
sub-control003,control,T1,trial19,766.7218322949897,item4,7.220962734581981
sub-control003,control,T1,trial20,767.0109992194256,item4,7.220962734581981
sub-test003,test,T0,trial1,930.1610265783281,item1,15.12966473230555
sub-test003,test,T0,trial2,958.0003262534552,item1,15.12966473230555
sub-test003,test,T0,trial3,921.7385532321676,item1,15.12966473230555
sub-test003,test,T0,trial4,925.475619739511,item1,15.12966473230555
sub-test003,test,T0,trial5,970.6384487290104,item1,15.12966473230555
sub-test003,test,T0,trial6,914.6850791218095,item2,15.12966473230555
sub-test003,test,T0,trial7,914.0985341561927,item2,15.12966473230555
sub-test003,test,T0,trial8,936.3705070319403,item2,15.12966473230555
sub-test003,test,T0,trial9,887.3348554035505,item2,15.12966473230555
sub-test003,test,T0,trial10,919.3602452661895,item2,15.12966473230555
sub-test003,test,T0,trial11,910.4274546669984,item3,15.12966473230555
sub-test003,test,T0,trial12,877.6321355251785,item3,15.12966473230555
sub-test003,test,T0,trial13,894.4364105538273,item3,15.12966473230555
sub-test003,test,T0,trial14,921.1970209972037,item3,15.12966473230555
sub-test003,test,T0,trial15,914.0530846843549,item3,15.12966473230555
sub-test003,test,T0,trial16,933.3128398981089,item4,15.12966473230555
sub-test003,test,T0,trial17,911.2053418984034,item4,15.12966473230555
sub-test003,test,T0,trial18,940.8235215009795,item4,15.12966473230555
sub-test003,test,T0,trial19,910.7303013918576,item4,15.12966473230555
sub-test003,test,T0,trial20,911.0194683162935,item4,15.12966473230555
sub-test003,test,T1,trial1,633.8122016086181,item1,15.12966473230555
sub-test003,test,T1,trial2,661.6515012837452,item1,15.12966473230555
sub-test003,test,T1,trial3,625.3897282624577,item1,15.12966473230555
sub-test003,test,T1,trial4,629.126794769801,item1,15.12966473230555
sub-test003,test,T1,trial5,674.2896237593004,item1,15.12966473230555
sub-test003,test,T1,trial6,618.3362541520995,item2,15.12966473230555
sub-test003,test,T1,trial7,617.7497091864827,item2,15.12966473230555
sub-test003,test,T1,trial8,640.0216820622303,item2,15.12966473230555
sub-test003,test,T1,trial9,590.9860304338405,item2,15.12966473230555
sub-test003,test,T1,trial10,623.0114202964795,item2,15.12966473230555
sub-test003,test,T1,trial11,614.0786296972884,item3,15.12966473230555
sub-test003,test,T1,trial12,581.2833105554685,item3,15.12966473230555
sub-test003,test,T1,trial13,598.0875855841173,item3,15.12966473230555
sub-test003,test,T1,trial14,624.8481960274937,item3,15.12966473230555
sub-test003,test,T1,trial15,617.7042597146449,item3,15.12966473230555
sub-test003,test,T1,trial16,636.9640149283989,item4,15.12966473230555
sub-test003,test,T1,trial17,614.8565169286934,item4,15.12966473230555
sub-test003,test,T1,trial18,644.4746965312695,item4,15.12966473230555
sub-test003,test,T1,trial19,614.3814764221476,item4,15.12966473230555
sub-test003,test,T1,trial20,614.6706433465835,item4,15.12966473230555
sub-control004,control,T0,trial1,920.1631073957069,item1,8.347046592061222
sub-control004,control,T0,trial2,948.002407070834,item1,8.347046592061222
sub-control004,control,T0,trial3,911.7406340495464,item1,8.347046592061222
sub-control004,control,T0,trial4,915.4777005568898,item1,8.347046592061222
sub-control004,control,T0,trial5,960.6405295463892,item1,8.347046592061222
sub-control004,control,T0,trial6,904.6871599391883,item2,8.347046592061222
sub-control004,control,T0,trial7,904.1006149735715,item2,8.347046592061222
sub-control004,control,T0,trial8,926.3725878493191,item2,8.347046592061222
sub-control004,control,T0,trial9,877.3369362209293,item2,8.347046592061222
sub-control004,control,T0,trial10,909.3623260835683,item2,8.347046592061222
sub-control004,control,T0,trial11,900.4295354843772,item3,8.347046592061222
sub-control004,control,T0,trial12,867.6342163425572,item3,8.347046592061222
sub-control004,control,T0,trial13,884.438491371206,item3,8.347046592061222
sub-control004,control,T0,trial14,911.1991018145825,item3,8.347046592061222
sub-control004,control,T0,trial15,904.0551655017337,item3,8.347046592061222
sub-control004,control,T0,trial16,923.3149207154877,item4,8.347046592061222
sub-control004,control,T0,trial17,901.2074227157822,item4,8.347046592061222
sub-control004,control,T0,trial18,930.8256023183583,item4,8.347046592061222
sub-control004,control,T0,trial19,900.7323822092363,item4,8.347046592061222
sub-control004,control,T0,trial20,901.0215491336722,item4,8.347046592061222
sub-control004,control,T1,trial1,797.3102459763427,item1,8.347046592061222
sub-control004,control,T1,trial2,825.1495456514698,item1,8.347046592061222
sub-control004,control,T1,trial3,788.8877726301822,item1,8.347046592061222
sub-control004,control,T1,trial4,792.6248391375256,item1,8.347046592061222
sub-control004,control,T1,trial5,837.787668127025,item1,8.347046592061222
sub-control004,control,T1,trial6,781.8342985198241,item2,8.347046592061222
sub-control004,control,T1,trial7,781.2477535542073,item2,8.347046592061222
sub-control004,control,T1,trial8,803.5197264299549,item2,8.347046592061222
sub-control004,control,T1,trial9,754.484074801565,item2,8.347046592061222
sub-control004,control,T1,trial10,786.5094646642041,item2,8.347046592061222
sub-control004,control,T1,trial11,777.576674065013,item3,8.347046592061222
sub-control004,control,T1,trial12,744.781354923193,item3,8.347046592061222
sub-control004,control,T1,trial13,761.5856299518418,item3,8.347046592061222
sub-control004,control,T1,trial14,788.3462403952183,item3,8.347046592061222
sub-control004,control,T1,trial15,781.2023040823694,item3,8.347046592061222
sub-control004,control,T1,trial16,800.4620592961235,item4,8.347046592061222
sub-control004,control,T1,trial17,778.354561296418,item4,8.347046592061222
sub-control004,control,T1,trial18,807.9727408989941,item4,8.347046592061222
sub-control004,control,T1,trial19,777.8795207898721,item4,8.347046592061222
sub-control004,control,T1,trial20,778.168687714308,item4,8.347046592061222
sub-test004,test,T0,trial1,946.1596379052194,item1,15.492620532804583
sub-test004,test,T0,trial2,973.9989375803466,item1,15.492620532804583
sub-test004,test,T0,trial3,937.737164559059,item1,15.492620532804583
sub-test004,test,T0,trial4,941.4742310664024,item1,15.492620532804583
sub-test004,test,T0,trial5,986.6370600559018,item1,15.492620532804583
sub-test004,test,T0,trial6,930.6836904487009,item2,15.492620532804583
sub-test004,test,T0,trial7,930.0971454830841,item2,15.492620532804583
sub-test004,test,T0,trial8,952.3691183588317,item2,15.492620532804583
sub-test004,test,T0,trial9,903.3334667304418,item2,15.492620532804583
sub-test004,test,T0,trial10,935.3588565930809,item2,15.492620532804583
sub-test004,test,T0,trial11,926.4260659938898,item3,15.492620532804583
sub-test004,test,T0,trial12,893.6307468520698,item3,15.492620532804583
sub-test004,test,T0,trial13,910.4350218807186,item3,15.492620532804583
sub-test004,test,T0,trial14,937.1956323240951,item3,15.492620532804583
sub-test004,test,T0,trial15,930.0516960112462,item3,15.492620532804583
sub-test004,test,T0,trial16,949.3114512250002,item4,15.492620532804583
sub-test004,test,T0,trial17,927.2039532252948,item4,15.492620532804583
sub-test004,test,T0,trial18,956.8221328278709,item4,15.492620532804583
sub-test004,test,T0,trial19,926.7289127187489,item4,15.492620532804583
sub-test004,test,T0,trial20,927.0180796431848,item4,15.492620532804583
sub-test004,test,T1,trial1,660.7072249719758,item1,15.492620532804583
sub-test004,test,T1,trial2,688.5465246471031,item1,15.492620532804583
sub-test004,test,T1,trial3,652.2847516258155,item1,15.492620532804583
sub-test004,test,T1,trial4,656.0218181331588,item1,15.492620532804583
sub-test004,test,T1,trial5,701.1846471226582,item1,15.492620532804583
sub-test004,test,T1,trial6,645.2312775154574,item2,15.492620532804583
sub-test004,test,T1,trial7,644.6447325498406,item2,15.492620532804583
sub-test004,test,T1,trial8,666.9167054255881,item2,15.492620532804583
sub-test004,test,T1,trial9,617.8810537971983,item2,15.492620532804583
sub-test004,test,T1,trial10,649.9064436598374,item2,15.492620532804583
sub-test004,test,T1,trial11,640.9736530606463,item3,15.492620532804583
sub-test004,test,T1,trial12,608.1783339188263,item3,15.492620532804583
sub-test004,test,T1,trial13,624.9826089474751,item3,15.492620532804583
sub-test004,test,T1,trial14,651.74321939085155,item3,15.492620532804583
sub-test004,test,T1,trial15,644.5992830780027,item3,15.492620532804583
sub-test004,test,T1,trial16,663.8590382917566,item4,15.492620532804583
sub-test004,test,T1,trial17,641.7515402920512,item4,15.492620532804583
sub-test004,test,T1,trial18,671.3697198946273,item4,15.492620532804583
sub-test004,test,T1,trial19,641.2764997855054,item4,15.492620532804583
sub-test004,test,T1,trial20,641.5656667099413,item4,15.492620532804583
sub-control005,control,T0,trial1,929.3790053208486,item1,4.377287844470711
sub-control005,control,T0,trial2,957.2183049959757,item1,4.377287844470711
sub-control005,control,T0,trial3,920.9565319746881,item1,4.377287844470711
sub-control005,control,T0,trial4,924.6935984820315,item1,4.377287844470711
sub-control005,control,T0,trial5,969.8564274715309,item1,4.377287844470711
sub-control005,control,T0,trial6,913.90305786433,item2,4.377287844470711
sub-control005,control,T0,trial7,913.3165128987132,item2,4.377287844470711
sub-control005,control,T0,trial8,935.5884857744608,item2,4.377287844470711
sub-control005,control,T0,trial9,886.552834146071,item2,4.377287844470711
sub-control005,control,T0,trial10,918.57822400871,item2,4.377287844470711
sub-control005,control,T0,trial11,909.6454334095189,item3,4.377287844470711
sub-control005,control,T0,trial12,876.8501142676989,item3,4.377287844470711
sub-control005,control,T0,trial13,893.6543892963477,item3,4.377287844470711
sub-control005,control,T0,trial14,920.4149997397242,item3,4.377287844470711
sub-control005,control,T0,trial15,913.2710634268753,item3,4.377287844470711
sub-control005,control,T0,trial16,932.5308186406294,item4,4.377287844470711
sub-control005,control,T0,trial17,910.4233206409239,item4,4.377287844470711
sub-control005,control,T0,trial18,940.0415002435,item4,4.377287844470711
sub-control005,control,T0,trial19,909.948280134378,item4,4.377287844470711
sub-control005,control,T0,trial20,910.2374470588139,item4,4.377287844470711
sub-control005,control,T1,trial1,807.3319320992318,item1,4.377287844470711
sub-control005,control,T1,trial2,835.171231774359,item1,4.377287844470711
sub-control005,control,T1,trial3,798.9094587530714,item1,4.377287844470711
sub-control005,control,T1,trial4,802.6465252604147,item1,4.377287844470711
sub-control005,control,T1,trial5,847.8093542499141,item1,4.377287844470711
sub-control005,control,T1,trial6,791.8559846427132,item2,4.377287844470711
sub-control005,control,T1,trial7,791.2694396770964,item2,4.377287844470711
sub-control005,control,T1,trial8,813.541412552844,item2,4.377287844470711
sub-control005,control,T1,trial9,764.5057609244542,item2,4.377287844470711
sub-control005,control,T1,trial10,796.5311507870932,item2,4.377287844470711
sub-control005,control,T1,trial11,787.5983601879021,item3,4.377287844470711
sub-control005,control,T1,trial12,754.8030410460822,item3,4.377287844470711
sub-control005,control,T1,trial13,771.607316074731,item3,4.377287844470711
sub-control005,control,T1,trial14,798.3679265181074,item3,4.377287844470711
sub-control005,control,T1,trial15,791.2239902052586,item3,4.377287844470711
sub-control005,control,T1,trial16,810.4837454190126,item4,4.377287844470711
sub-control005,control,T1,trial17,788.3762474193071,item4,4.377287844470711
sub-control005,control,T1,trial18,817.9944270218832,item4,4.377287844470711
sub-control005,control,T1,trial19,787.9012069127613,item4,4.377287844470711
sub-control005,control,T1,trial20,788.1903738371972,item4,4.377287844470711
sub-test005,test,T0,trial1,949.1200073970808,item1,12.410378940846186
sub-test005,test,T0,trial2,976.9593070722079,item1,12.410378940846186
sub-test005,test,T0,trial3,940.6975340509204,item1,12.410378940846186
sub-test005,test,T0,trial4,944.4346005582637,item1,12.410378940846186
sub-test005,test,T0,trial5,989.5974295477631,item1,12.410378940846186
sub-test005,test,T0,trial6,933.6440599405622,item2,12.410378940846186
sub-test005,test,T0,trial7,933.0575149749454,item2,12.410378940846186
sub-test005,test,T0,trial8,955.329487850693,item2,12.410378940846186
sub-test005,test,T0,trial9,906.2938362223032,item2,12.410378940846186
sub-test005,test,T0,trial10,938.3192260849422,item2,12.410378940846186
sub-test005,test,T0,trial11,929.3864354857511,item3,12.410378940846186
sub-test005,test,T0,trial12,896.5911163439312,item3,12.410378940846186
sub-test005,test,T0,trial13,913.39539137258,item3,12.410378940846186
sub-test005,test,T0,trial14,940.1560018159564,item3,12.410378940846186
sub-test005,test,T0,trial15,933.0120655031076,item3,12.410378940846186
sub-test005,test,T0,trial16,952.2718207168616,item4,12.410378940846186
sub-test005,test,T0,trial17,930.1643227171561,item4,12.410378940846186
sub-test005,test,T0,trial18,959.7825023197322,item4,12.410378940846186
sub-test005,test,T0,trial19,929.6892822106103,item4,12.410378940846186
sub-test005,test,T0,trial20,929.9784491350462,item4,12.410378940846186
sub-test005,test,T1,trial1,667.3569703767248,item1,12.410378940846186
sub-test005,test,T1,trial2,695.1962700518519,item1,12.410378940846186
sub-test005,test,T1,trial3,658.9344970305643,item1,12.410378940846186
sub-test005,test,T1,trial4,662.6715635379077,item1,12.410378940846186
sub-test005,test,T1,trial5,707.8343925274071,item1,12.410378940846186
sub-test005,test,T1,trial6,651.8810229202062,item2,12.410378940846186
sub-test005,test,T1,trial7,651.2944779545894,item2,12.410378940846186
sub-test005,test,T1,trial8,673.566450830337,item2,12.410378940846186
sub-test005,test,T1,trial9,624.5307992019472,item2,12.410378940846186
sub-test005,test,T1,trial10,656.5561890645862,item2,12.410378940846186
sub-test005,test,T1,trial11,647.6233984653951,item3,12.410378940846186
sub-test005,test,T1,trial12,614.8280793235751,item3,12.410378940846186
sub-test005,test,T1,trial13,631.632354352224,item3,12.410378940846186
sub-test005,test,T1,trial14,658.3929647956004,item3,12.410378940846186
sub-test005,test,T1,trial15,651.2490284827516,item3,12.410378940846186
sub-test005,test,T1,trial16,670.5087836965056,item4,12.410378940846186
sub-test005,test,T1,trial17,648.4012856968001,item4,12.410378940846186
sub-test005,test,T1,trial18,678.0194652993762,item4,12.410378940846186
sub-test005,test,T1,trial19,647.9262451902542,item4,12.410378940846186
sub-test005,test,T1,trial20,648.2154121146901,item4,12.410378940846186
sub-control006,control,T0,trial1,953.4840245356195,item1,6.853458836353898
sub-control006,control,T0,trial2,981.3233242107466,item1,6.853458836353898
sub-control006,control,T0,trial3,945.061551189459,item1,6.853458836353898
sub-control006,control,T0,trial4,948.7986176968024,item1,6.853458836353898
sub-control006,control,T0,trial5,993.9614466863018,item1,6.853458836353898
sub-control006,control,T0,trial6,938.0080770791009,item2,6.853458836353898
sub-control006,control,T0,trial7,937.4215321134841,item2,6.853458836353898
sub-control006,control,T0,trial8,959.6935049892317,item2,6.853458836353898
sub-control006,control,T0,trial9,910.6578533608418,item2,6.853458836353898
sub-control006,control,T0,trial10,942.6832432234809,item2,6.853458836353898
sub-control006,control,T0,trial11,933.7504526242898,item3,6.853458836353898
sub-control006,control,T0,trial12,900.9551334824698,item3,6.853458836353898
