pax,group,condition,session,trial,rt
sub-control001,control,A,T1,i16,530.1463351509618
sub-control001,control,A,T1,i17,532.1463351509618
sub-control001,control,A,T1,i18,532.1463351509618
sub-control001,control,A,T1,i19,533.1463351509618
sub-control001,control,A,T1,i20,530.1463351509618
sub-test001,test,A,T1,i1,582.6418202021873
sub-test001,test,A,T1,i2,579.6418202021873
sub-test001,test,A,T1,i3,582.6418202021873
sub-test001,test,A,T1,i4,581.6418202021873
sub-test001,test,A,T1,i5,582.6418202021873
sub-test001,test,A,T1,i6,579.6418202021873
sub-test001,test,A,T1,i7,580.6418202021873
sub-test001,test,A,T1,i8,583.6418202021873
sub-test001,test,A,T1,i9,584.6418202021873
sub-test001,test,A,T1,i10,580.6418202021873
sub-test001,test,A,T1,i11,582.6418202021873
sub-test001,test,A,T1,i12,581.6418202021873
sub-test001,test,A,T1,i13,587.6418202021873
sub-test001,test,A,T1,i14,580.6418202021873
sub-test001,test,A,T1,i15,581.6418202021873
sub-test001,test,A,T1,i16,580.6418202021873
sub-test001,test,A,T1,i17,582.6418202021873
sub-test001,test,A,T1,i18,582.6418202021873
sub-test001,test,A,T1,i19,583.6418202021873
sub-test001,test,A,T1,i20,580.6418202021873
sub-control001,control,B,T1,i1,782.204006277522
sub-control001,control,B,T1,i2,779.204006277522
sub-control001,control,B,T1,i3,782.204006277522
sub-control001,control,B,T1,i4,781.204006277522
sub-control001,control,B,T1,i5,782.204006277522
sub-control001,control,B,T1,i6,779.204006277522
sub-control001,control,B,T1,i7,780.204006277522
sub-control001,control,B,T1,i8,783.204006277522
sub-control001,control,B,T1,i9,784.204006277522
sub-control001,control,B,T1,i10,780.204006277522
sub-control001,control,B,T1,i11,782.204006277522
sub-control001,control,B,T1,i12,781.204006277522
sub-control001,control,B,T1,i13,787.204006277522
sub-control001,control,B,T1,i14,780.204006277522
sub-control001,control,B,T1,i15,781.204006277522
sub-control001,control,B,T1,i16,780.204006277522
sub-control001,control,B,T1,i17,782.204006277522
sub-control001,control,B,T1,i18,782.204006277522
sub-control001,control,B,T1,i19,783.204006277522
sub-control001,control,B,T1,i20,780.204006277522
sub-test001,test,B,T1,i1,569.1546460770554
sub-test001,test,B,T1,i2,566.1546460770554
sub-test001,test,B,T1,i3,569.1546460770554
sub-test001,test,B,T1,i4,568.1546460770554
sub-test001,test,B,T1,i5,569.1546460770554
sub-test001,test,B,T1,i6,566.1546460770554
sub-test001,test,B,T1,i7,567.1546460770554
sub-test001,test,B,T1,i8,570.1546460770554
sub-test001,test,B,T1,i9,571.1546460770554
sub-test001,test,B,T1,i10,567.1546460770554
sub-test001,test,B,T1,i11,569.1546460770554
sub-test001,test,B,T1,i12,568.1546460770554
sub-test001,test,B,T1,i13,574.1546460770554
sub-test001,test,B,T1,i14,567.1546460770554
sub-test001,test,B,T1,i15,568.1546460770554
sub-test001,test,B,T1,i16,567.1546460770554
sub-test001,test,B,T1,i17,569.1546460770554
sub-test001,test,B,T1,i18,569.1546460770554
sub-test001,test,B,T1,i19,570.1546460770554
sub-test001,test,B,T1,i20,567.1546460770554
sub-control002,control,A,T0,i1,754.9125197269863
sub-control002,control,A,T0,i2,751.9125197269863
sub-control002,control,A,T0,i3,754.9125197269863
sub-control002,control,A,T0,i4,753.9125197269863
sub-control002,control,A,T0,i5,754.9125197269863
sub-control002,control,A,T0,i6,751.9125197269863
sub-control002,control,A,T0,i7,752.9125197269863
sub-control002,control,A,T0,i8,755.9125197269863
sub-control002,control,A,T0,i9,756.9125197269863
sub-control002,control,A,T0,i10,752.9125197269863
sub-control002,control,A,T0,i11,754.9125197269863
sub-control002,control,A,T0,i12,753.9125197269863
sub-control002,control,A,T0,i13,759.9125197269863
sub-control002,control,A,T0,i14,752.9125197269863
sub-control002,control,A,T0,i15,753.9125197269863
sub-control002,control,A,T0,i16,752.9125197269863
sub-control002,control,A,T0,i17,754.9125197269863
sub-control002,control,A,T0,i18,754.9125197269863
sub-control002,control,A,T0,i19,755.9125197269863
sub-control002,control,A,T0,i20,752.9125197269863
sub-control002,control,B,T0,i1,962.0905854902006
sub-control002,control,B,T0,i2,959.0905854902006
sub-control002,control,B,T0,i3,962.0905854902006
sub-control002,control,B,T0,i4,961.0905854902006
sub-control002,control,B,T0,i5,962.0905854902006
sub-control002,control,B,T0,i6,959.0905854902006
sub-control002,control,B,T0,i7,960.0905854902006
sub-control002,control,B,T0,i8,963.0905854902006
sub-control002,control,B,T0,i9,964.0905854902006
sub-control002,control,B,T0,i10,960.0905854902006
sub-control002,control,B,T0,i11,962.0905854902006
sub-control002,control,B,T0,i12,961.0905854902006
sub-control002,control,B,T0,i13,967.0905854902006
sub-control002,control,B,T0,i14,960.0905854902006
sub-control002,control,B,T0,i15,961.0905854902006
sub-control002,control,B,T0,i16,960.0905854902006
sub-control002,control,B,T0,i17,962.0905854902006
sub-control002,control,B,T0,i18,962.0905854902006
sub-control002,control,B,T0,i19,963.0905854902006
sub-control002,control,B,T0,i20,960.0905854902006
sub-test002,test,A,T0,i1,721.6886129338658
sub-test002,test,A,T0,i2,718.6886129338658
sub-test002,test,A,T0,i3,721.6886129338658
sub-test002,test,A,T0,i4,720.6886129338658
sub-test002,test,A,T0,i5,721.6886129338658
sub-test002,test,A,T0,i6,718.6886129338658
sub-test002,test,A,T0,i7,719.6886129338658
sub-test002,test,A,T0,i8,722.6886129338658
sub-test002,test,A,T0,i9,723.6886129338658
sub-test002,test,A,T0,i10,719.6886129338658
sub-test002,test,A,T0,i11,721.6886129338658
sub-test002,test,A,T0,i12,720.6886129338658
sub-test002,test,A,T0,i13,726.6886129338658
sub-test002,test,A,T0,i14,719.6886129338658
sub-test002,test,A,T0,i15,720.6886129338658
sub-test002,test,A,T0,i16,719.6886129338658
sub-test002,test,A,T0,i17,721.6886129338658
sub-test002,test,A,T0,i18,721.6886129338658
sub-test002,test,A,T0,i19,722.6886129338658
sub-test002,test,A,T0,i20,719.6886129338658
sub-test002,test,B,T0,i1,895.2852165133012
sub-test002,test,B,T0,i2,892.2852165133012
sub-test002,test,B,T0,i3,895.2852165133012
sub-test002,test,B,T0,i4,894.2852165133012
sub-test002,test,B,T0,i5,895.2852165133012
sub-test002,test,B,T0,i6,892.2852165133012
sub-test002,test,B,T0,i7,893.2852165133012
sub-test002,test,B,T0,i8,896.2852165133012
sub-test002,test,B,T0,i9,897.2852165133012
sub-test002,test,B,T0,i10,893.2852165133012
sub-test002,test,B,T0,i11,895.2852165133012
sub-test002,test,B,T0,i12,894.2852165133012
sub-test002,test,B,T0,i13,900.2852165133012
sub-test002,test,B,T0,i14,893.2852165133012
sub-test002,test,B,T0,i15,894.2852165133012
sub-test002,test,B,T0,i16,893.2852165133012
sub-test002,test,B,T0,i17,895.2852165133012
sub-test002,test,B,T0,i18,895.2852165133012
sub-test002,test,B,T0,i19,896.2852165133012
sub-test002,test,B,T0,i20,893.2852165133012
sub-control002,control,A,T1,i1,614.0962509872734
sub-control002,control,A,T1,i2,611.0962509872734
sub-control002,control,A,T1,i3,614.0962509872734
sub-control002,control,A,T1,i4,613.0962509872734
sub-control002,control,A,T1,i5,614.0962509872734
sub-control002,control,A,T1,i6,611.0962509872734
sub-control002,control,A,T1,i7,612.0962509872734
sub-control002,control,A,T1,i8,615.0962509872734
sub-control002,control,A,T1,i9,616.0962509872734
sub-control002,control,A,T1,i10,612.0962509872734
sub-control002,control,A,T1,i11,614.0962509872734
sub-control002,control,A,T1,i12,613.0962509872734
sub-control002,control,A,T1,i13,619.0962509872734
sub-control002,control,A,T1,i14,612.0962509872734
sub-control002,control,A,T1,i15,613.0962509872734
sub-control002,control,A,T1,i16,612.0962509872734
sub-control002,control,A,T1,i17,614.0962509872734
sub-control002,control,A,T1,i18,614.0962509872734
sub-control002,control,A,T1,i19,615.0962509872734
sub-control002,control,A,T1,i20,612.0962509872734
sub-test002,test,A,T1,i1,595.3666835516372
sub-test002,test,A,T1,i2,592.3666835516372
sub-test002,test,A,T1,i3,595.3666835516372
sub-test002,test,A,T1,i4,594.3666835516372
sub-test002,test,A,T1,i5,595.3666835516372
sub-test002,test,A,T1,i6,592.3666835516372
sub-test002,test,A,T1,i7,593.3666835516372
sub-test002,test,A,T1,i8,596.3666835516372
sub-test002,test,A,T1,i9,597.3666835516372
sub-test002,test,A,T1,i10,593.3666835516372
sub-test002,test,A,T1,i11,595.3666835516372
sub-test002,test,A,T1,i12,594.3666835516372
sub-test002,test,A,T1,i13,600.3666835516372
sub-test002,test,A,T1,i14,593.3666835516372
sub-test002,test,A,T1,i15,594.3666835516372
sub-test002,test,A,T1,i16,593.3666835516372
sub-test002,test,A,T1,i17,595.3666835516372
sub-test002,test,A,T1,i18,595.3666835516372
sub-test002,test,A,T1,i19,596.3666835516372
sub-test002,test,A,T1,i20,593.3666835516372
sub-control002,control,B,T1,i1,837.3703019297388
sub-control002,control,B,T1,i2,834.3703019297388
sub-control002,control,B,T1,i3,837.3703019297388
sub-control002,control,B,T1,i4,836.3703019297388
sub-control002,control,B,T1,i5,837.3703019297388
sub-control002,control,B,T1,i6,834.3703019297388
sub-control002,control,B,T1,i7,835.3703019297388
sub-control002,control,B,T1,i8,838.3703019297388
sub-control002,control,B,T1,i9,839.3703019297388
sub-control002,control,B,T1,i10,835.3703019297388
sub-control002,control,B,T1,i11,837.3703019297388
sub-control002,control,B,T1,i12,836.3703019297388
sub-control002,control,B,T1,i13,842.3703019297388
sub-control002,control,B,T1,i14,835.3703019297388
sub-control002,control,B,T1,i15,836.3703019297388
sub-control002,control,B,T1,i16,835.3703019297388
sub-control002,control,B,T1,i17,837.3703019297388
sub-control002,control,B,T1,i18,837.3703019297388
sub-control002,control,B,T1,i19,838.3703019297388
sub-control002,control,B,T1,i20,835.3703019297388
sub-test002,test,B,T1,i1,590.7661276057894
sub-test002,test,B,T1,i2,587.7661276057894
sub-test002,test,B,T1,i3,590.7661276057894
sub-test002,test,B,T1,i4,589.7661276057894
sub-test002,test,B,T1,i5,590.7661276057894
sub-test002,test,B,T1,i6,587.7661276057894
sub-test002,test,B,T1,i7,588.7661276057894
sub-test002,test,B,T1,i8,591.7661276057894
sub-test002,test,B,T1,i9,592.7661276057894
sub-test002,test,B,T1,i10,588.7661276057894
sub-test002,test,B,T1,i11,590.7661276057894
sub-test002,test,B,T1,i12,589.7661276057894
sub-test002,test,B,T1,i13,595.7661276057894
sub-test002,test,B,T1,i14,588.7661276057894
sub-test002,test,B,T1,i15,589.7661276057894
sub-test002,test,B,T1,i16,588.7661276057894
sub-test002,test,B,T1,i17,590.7661276057894
sub-test002,test,B,T1,i18,590.7661276057894
sub-test002,test,B,T1,i19,591.7661276057894
sub-test002,test,B,T1,i20,588.7661276057894
sub-control003,control,A,T0,i1,759.2986428576937
sub-control003,control,A,T0,i2,756.2986428576937
sub-control003,control,A,T0,i3,759.2986428576937
sub-control003,control,A,T0,i4,758.2986428576937
sub-control003,control,A,T0,i5,759.2986428576937
sub-control003,control,A,T0,i6,756.2986428576937
sub-control003,control,A,T0,i7,757.2986428576937
sub-control003,control,A,T0,i8,760.2986428576937
sub-control003,control,A,T0,i9,761.2986428576937
sub-control003,control,A,T0,i10,757.2986428576937
sub-control003,control,A,T0,i11,759.2986428576937
sub-control003,control,A,T0,i12,758.2986428576937
sub-control003,control,A,T0,i13,764.2986428576937
sub-control003,control,A,T0,i14,757.2986428576937
sub-control003,control,A,T0,i15,758.2986428576937
sub-control003,control,A,T0,i16,757.2986428576937
sub-control003,control,A,T0,i17,759.2986428576937
sub-control003,control,A,T0,i18,759.2986428576937
sub-control003,control,A,T0,i19,760.2986428576937
sub-control003,control,A,T0,i20,757.2986428576937
sub-control003,control,B,T0,i1,953.09317778782
sub-control003,control,B,T0,i2,950.09317778782
sub-control003,control,B,T0,i3,953.09317778782
sub-control003,control,B,T0,i4,952.09317778782
sub-control003,control,B,T0,i5,953.09317778782
sub-control003,control,B,T0,i6,950.09317778782
sub-control003,control,B,T0,i7,951.09317778782
sub-control003,control,B,T0,i8,954.09317778782
sub-control003,control,B,T0,i9,955.09317778782
sub-control003,control,B,T0,i10,951.09317778782
sub-control003,control,B,T0,i11,953.09317778782
sub-control003,control,B,T0,i12,952.09317778782
sub-control003,control,B,T0,i13,958.09317778782
sub-control003,control,B,T0,i14,951.09317778782
sub-control003,control,B,T0,i15,952.09317778782
sub-control003,control,B,T0,i16,951.09317778782
sub-control003,control,B,T0,i17,953.09317778782
sub-control003,control,B,T0,i18,953.09317778782
sub-control003,control,B,T0,i19,954.09317778782
sub-control003,control,B,T0,i20,951.09317778782
sub-test003,test,A,T0,i1,724.4603415099787
sub-test003,test,A,T0,i2,721.4603415099787
sub-test003,test,A,T0,i3,724.4603415099787
sub-test003,test,A,T0,i4,723.4603415099787
sub-test003,test,A,T0,i5,724.4603415099787
sub-test003,test,A,T0,i6,721.4603415099787
sub-test003,test,A,T0,i7,722.4603415099787
sub-test003,test,A,T0,i8,725.4603415099787
sub-test003,test,A,T0,i9,726.4603415099787
sub-test003,test,A,T0,i10,722.4603415099787
sub-test003,test,A,T0,i11,724.4603415099787
sub-test003,test,A,T0,i12,723.4603415099787
sub-test003,test,A,T0,i13,729.4603415099787
sub-test003,test,A,T0,i14,722.4603415099787
sub-test003,test,A,T0,i15,723.4603415099787
sub-test003,test,A,T0,i16,722.4603415099787
sub-test003,test,A,T0,i17,724.4603415099787
sub-test003,test,A,T0,i18,724.4603415099787
sub-test003,test,A,T0,i19,725.4603415099787
sub-test003,test,A,T0,i20,722.4603415099787
sub-test003,test,B,T0,i1,897.6714599895944
sub-test003,test,B,T0,i2,894.6714599895944
sub-test003,test,B,T0,i3,897.6714599895944
sub-test003,test,B,T0,i4,896.6714599895944
sub-test003,test,B,T0,i5,897.6714599895944
sub-test003,test,B,T0,i6,894.6714599895944
sub-test003,test,B,T0,i7,895.6714599895944
sub-test003,test,B,T0,i8,898.6714599895944
sub-test003,test,B,T0,i9,899.6714599895944
sub-test003,test,B,T0,i10,895.6714599895944
sub-test003,test,B,T0,i11,897.6714599895944
sub-test003,test,B,T0,i12,896.6714599895944
sub-test003,test,B,T0,i13,902.6714599895944
sub-test003,test,B,T0,i14,895.6714599895944
sub-test003,test,B,T0,i15,896.6714599895944
sub-test003,test,B,T0,i16,895.6714599895944
sub-test003,test,B,T0,i17,897.6714599895944
sub-test003,test,B,T0,i18,897.6714599895944
sub-test003,test,B,T0,i19,898.6714599895944
sub-test003,test,B,T0,i20,895.6714599895944
sub-control003,control,A,T1,i1,627.9155153469917
sub-control003,control,A,T1,i2,624.9155153469917
sub-control003,control,A,T1,i3,627.9155153469917
sub-control003,control,A,T1,i4,626.9155153469917
sub-control003,control,A,T1,i5,627.9155153469917
sub-control003,control,A,T1,i6,624.9155153469917
sub-control003,control,A,T1,i7,625.9155153469917
sub-control003,control,A,T1,i8,628.9155153469917
sub-control003,control,A,T1,i9,629.9155153469917
sub-control003,control,A,T1,i10,625.9155153469917
sub-control003,control,A,T1,i11,627.9155153469917
sub-control003,control,A,T1,i12,626.9155153469917
sub-control003,control,A,T1,i13,632.9155153469917
sub-control003,control,A,T1,i14,625.9155153469917
sub-control003,control,A,T1,i15,626.9155153469917
sub-control003,control,A,T1,i16,625.9155153469917
sub-control003,control,A,T1,i17,627.9155153469917
sub-control003,control,A,T1,i18,627.9155153469917
sub-control003,control,A,T1,i19,628.9155153469917
sub-control003,control,A,T1,i20,625.9155153469917
sub-test003,test,A,T1,i1,600.363938788832
sub-test003,test,A,T1,i2,597.363938788832
sub-test003,test,A,T1,i3,600.363938788832
sub-test003,test,A,T1,i4,599.363938788832
sub-test003,test,A,T1,i5,600.363938788832
sub-test003,test,A,T1,i6,597.363938788832
sub-test003,test,A,T1,i7,598.363938788832
sub-test003,test,A,T1,i8,601.363938788832
sub-test003,test,A,T1,i9,602.363938788832
sub-test003,test,A,T1,i10,598.363938788832
sub-test003,test,A,T1,i11,600.363938788832
sub-test003,test,A,T1,i12,599.363938788832
sub-test003,test,A,T1,i13,605.363938788832
sub-test003,test,A,T1,i14,598.363938788832
sub-test003,test,A,T1,i15,599.363938788832
sub-test003,test,A,T1,i16,598.363938788832
sub-test003,test,A,T1,i17,600.363938788832
sub-test003,test,A,T1,i18,600.363938788832
sub-test003,test,A,T1,i19,601.363938788832
sub-test003,test,A,T1,i20,598.363938788832
sub-control003,control,B,T1,i1,829.968783504981
sub-control003,control,B,T1,i2,826.968783504981
sub-control003,control,B,T1,i3,829.968783504981
sub-control003,control,B,T1,i4,828.968783504981
sub-control003,control,B,T1,i5,829.968783504981
sub-control003,control,B,T1,i6,826.968783504981
sub-control003,control,B,T1,i7,827.968783504981
sub-control003,control,B,T1,i8,830.968783504981
sub-control003,control,B,T1,i9,831.968783504981
sub-control003,control,B,T1,i10,827.968783504981
sub-control003,control,B,T1,i11,829.968783504981
sub-control003,control,B,T1,i12,828.968783504981
sub-control003,control,B,T1,i13,834.968783504981
sub-control003,control,B,T1,i14,827.968783504981
sub-control003,control,B,T1,i15,828.968783504981
sub-control003,control,B,T1,i16,827.968783504981
sub-control003,control,B,T1,i17,829.968783504981
sub-control003,control,B,T1,i18,829.968783504981
sub-control003,control,B,T1,i19,830.968783504981
sub-control003,control,B,T1,i20,827.968783504981
sub-test003,test,B,T1,i1,597.2685290997524
sub-test003,test,B,T1,i2,594.2685290997524
sub-test003,test,B,T1,i3,597.2685290997524
sub-test003,test,B,T1,i4,596.2685290997524
sub-test003,test,B,T1,i5,597.2685290997524
sub-test003,test,B,T1,i6,594.2685290997524
sub-test003,test,B,T1,i7,595.2685290997524
sub-test003,test,B,T1,i8,598.2685290997524
sub-test003,test,B,T1,i9,599.2685290997524
sub-test003,test,B,T1,i10,595.2685290997524
sub-test003,test,B,T1,i11,597.2685290997524
sub-test003,test,B,T1,i12,596.2685290997524
sub-test003,test,B,T1,i13,602.2685290997524
sub-test003,test,B,T1,i14,595.2685290997524
sub-test003,test,B,T1,i15,596.2685290997524
sub-test003,test,B,T1,i16,595.2685290997524
sub-test003,test,B,T1,i17,597.2685290997524
sub-test003,test,B,T1,i18,597.2685290997524
sub-test003,test,B,T1,i19,598.2685290997524
sub-test003,test,B,T1,i20,595.2685290997524
sub-control004,control,A,T0,i1,773.580338970432
sub-control004,control,A,T0,i2,770.580338970432
sub-control004,control,A,T0,i3,773.580338970432
sub-control004,control,A,T0,i4,772.580338970432
sub-control004,control,A,T0,i5,773.580338970432
sub-control004,control,A,T0,i6,770.580338970432
sub-control004,control,A,T0,i7,771.580338970432
sub-control004,control,A,T0,i8,774.580338970432
sub-control004,control,A,T0,i9,775.580338970432
sub-control004,control,A,T0,i10,771.580338970432
sub-control004,control,A,T0,i11,773.580338970432
sub-control004,control,A,T0,i12,772.580338970432
sub-control004,control,A,T0,i13,778.580338970432
sub-control004,control,A,T0,i14,771.580338970432
sub-control004,control,A,T0,i15,772.580338970432
sub-control004,control,A,T0,i16,771.580338970432
sub-control004,control,A,T0,i17,773.580338970432
sub-control004,control,A,T0,i18,773.580338970432
sub-control004,control,A,T0,i19,774.580338970432
sub-control004,control,A,T0,i20,771.580338970432
sub-control004,control,B,T0,i1,955.8269645669068
sub-control004,control,B,T0,i2,952.8269645669068
sub-control004,control,B,T0,i3,955.8269645669068
sub-control004,control,B,T0,i4,954.8269645669068
sub-control004,control,B,T0,i5,955.8269645669068
sub-control004,control,B,T0,i6,952.8269645669068
sub-control004,control,B,T0,i7,953.8269645669068
sub-control004,control,B,T0,i8,956.8269645669068
sub-control004,control,B,T0,i9,957.8269645669068
sub-control004,control,B,T0,i10,953.8269645669068
sub-control004,control,B,T0,i11,955.8269645669068
sub-control004,control,B,T0,i12,954.8269645669068
sub-control004,control,B,T0,i13,960.8269645669068
sub-control004,control,B,T0,i14,953.8269645669068
sub-control004,control,B,T0,i15,954.8269645669068
sub-control004,control,B,T0,i16,953.8269645669068
sub-control004,control,B,T0,i17,955.8269645669068
sub-control004,control,B,T0,i18,955.8269645669068
sub-control004,control,B,T0,i19,956.8269645669068
sub-control004,control,B,T0,i20,953.8269645669068
sub-test004,test,A,T0,i1,749.8277799748537
sub-test004,test,A,T0,i2,746.8277799748537
sub-test004,test,A,T0,i3,749.8277799748537
sub-test004,test,A,T0,i4,748.8277799748537
sub-test004,test,A,T0,i5,749.8277799748537
sub-test004,test,A,T0,i6,746.8277799748537
sub-test004,test,A,T0,i7,747.8277799748537
sub-test004,test,A,T0,i8,750.8277799748537
sub-test004,test,A,T0,i9,751.8277799748537
sub-test004,test,A,T0,i10,747.8277799748537
sub-test004,test,A,T0,i11,749.8277799748537
sub-test004,test,A,T0,i12,748.8277799748537
sub-test004,test,A,T0,i13,754.8277799748537
sub-test004,test,A,T0,i14,747.8277799748537
sub-test004,test,A,T0,i15,748.8277799748537
sub-test004,test,A,T0,i16,747.8277799748537
sub-test004,test,A,T0,i17,749.8277799748537
sub-test004,test,A,T0,i18,749.8277799748537
sub-test004,test,A,T0,i19,750.8277799748537
sub-test004,test,A,T0,i20,747.8277799748537
sub-test004,test,B,T0,i1,921.5273605746372
sub-test004,test,B,T0,i2,918.5273605746372
sub-test004,test,B,T0,i3,921.5273605746372
sub-test004,test,B,T0,i4,920.5273605746372
sub-test004,test,B,T0,i5,921.5273605746372
sub-test004,test,B,T0,i6,918.5273605746372
sub-test004,test,B,T0,i7,919.5273605746372
sub-test004,test,B,T0,i8,922.5273605746372
sub-test004,test,B,T0,i9,923.5273605746372
sub-test004,test,B,T0,i10,919.5273605746372
sub-test004,test,B,T0,i11,921.5273605746372
sub-test004,test,B,T0,i12,920.5273605746372
sub-test004,test,B,T0,i13,926.5273605746372
sub-test004,test,B,T0,i14,919.5273605746372
sub-test004,test,B,T0,i15,920.5273605746372
sub-test004,test,B,T0,i16,919.5273605746372
sub-test004,test,B,T0,i17,921.5273605746372
sub-test004,test,B,T0,i18,921.5273605746372
sub-test004,test,B,T0,i19,922.5273605746372
sub-test004,test,B,T0,i20,919.5273605746372
sub-control004,control,A,T1,i1,645.2076825103545
sub-control004,control,A,T1,i2,642.2076825103545
sub-control004,control,A,T1,i3,645.2076825103545
sub-control004,control,A,T1,i4,644.2076825103545
sub-control004,control,A,T1,i5,645.2076825103545
sub-control004,control,A,T1,i6,642.2076825103545
sub-control004,control,A,T1,i7,643.2076825103545
sub-control004,control,A,T1,i8,646.2076825103545
sub-control004,control,A,T1,i9,647.2076825103545
sub-control004,control,A,T1,i10,643.2076825103545
sub-control004,control,A,T1,i11,645.2076825103545
sub-control004,control,A,T1,i12,644.2076825103545
sub-control004,control,A,T1,i13,650.2076825103545
sub-control004,control,A,T1,i14,643.2076825103545
sub-control004,control,A,T1,i15,644.2076825103545
sub-control004,control,A,T1,i16,643.2076825103545
sub-control004,control,A,T1,i17,645.2076825103545
sub-control004,control,A,T1,i18,645.2076825103545
sub-control004,control,A,T1,i19,646.2076825103545
sub-control004,control,A,T1,i20,643.2076825103545
sub-test004,test,A,T1,i1,627.8221171352144
sub-test004,test,A,T1,i2,624.8221171352144
sub-test004,test,A,T1,i3,627.8221171352144
sub-test004,test,A,T1,i4,626.8221171352144
sub-test004,test,A,T1,i5,627.8221171352144
sub-test004,test,A,T1,i6,624.8221171352144
