pax,group,session,trial,rt,item
sub-control003,control,T0,trial4,918.8551172391642,item1
sub-control003,control,T0,trial5,918.8551172391642,item1
sub-control003,control,T0,trial6,928.8551172391642,item2
sub-control003,control,T0,trial7,928.8551172391642,item2
sub-control003,control,T0,trial8,928.8551172391642,item2
sub-control003,control,T0,trial9,928.8551172391642,item2
sub-control003,control,T0,trial10,938.8551172391642,item2
sub-control003,control,T0,trial11,938.8551172391642,item3
sub-control003,control,T0,trial12,938.8551172391642,item3
sub-control003,control,T0,trial13,948.8551172391642,item3
sub-control003,control,T0,trial14,948.8551172391642,item3
sub-control003,control,T0,trial15,948.8551172391642,item3
sub-control003,control,T0,trial16,958.8551172391642,item4
sub-control003,control,T0,trial17,958.8551172391642,item4
sub-control003,control,T0,trial18,958.8551172391642,item4
sub-control003,control,T0,trial19,968.8551172391642,item4
sub-control003,control,T0,trial20,988.8551172391642,item4
sub-control003,control,T1,trial1,775.7608492370564,item1
sub-control003,control,T1,trial2,775.7608492370564,item1
sub-control003,control,T1,trial3,785.7608492370564,item1
sub-control003,control,T1,trial4,785.7608492370564,item1
sub-control003,control,T1,trial5,785.7608492370564,item1
sub-control003,control,T1,trial6,795.7608492370564,item2
sub-control003,control,T1,trial7,795.7608492370564,item2
sub-control003,control,T1,trial8,795.7608492370564,item2
sub-control003,control,T1,trial9,795.7608492370564,item2
sub-control003,control,T1,trial10,805.7608492370564,item2
sub-control003,control,T1,trial11,805.7608492370564,item3
sub-control003,control,T1,trial12,805.7608492370564,item3
sub-control003,control,T1,trial13,815.7608492370564,item3
sub-control003,control,T1,trial14,815.7608492370564,item3
sub-control003,control,T1,trial15,815.7608492370564,item3
sub-control003,control,T1,trial16,825.7608492370564,item4
sub-control003,control,T1,trial17,825.7608492370564,item4
sub-control003,control,T1,trial18,825.7608492370564,item4
sub-control003,control,T1,trial19,835.7608492370564,item4
sub-control003,control,T1,trial20,855.7608492370564,item4
sub-test003,test,T0,trial1,890.5695924067616,item1
sub-test003,test,T0,trial2,890.5695924067616,item1
sub-test003,test,T0,trial3,900.5695924067616,item1
sub-test003,test,T0,trial4,900.5695924067616,item1
sub-test003,test,T0,trial5,900.5695924067616,item1
sub-test003,test,T0,trial6,910.5695924067616,item2
sub-test003,test,T0,trial7,910.5695924067616,item2
sub-test003,test,T0,trial8,910.5695924067616,item2
sub-test003,test,T0,trial9,910.5695924067616,item2
sub-test003,test,T0,trial10,920.5695924067616,item2
sub-test003,test,T0,trial11,920.5695924067616,item3
sub-test003,test,T0,trial12,920.5695924067616,item3
sub-test003,test,T0,trial13,930.5695924067616,item3
sub-test003,test,T0,trial14,930.5695924067616,item3
sub-test003,test,T0,trial15,930.5695924067616,item3
sub-test003,test,T0,trial16,940.5695924067616,item4
sub-test003,test,T0,trial17,940.5695924067616,item4
sub-test003,test,T0,trial18,940.5695924067616,item4
sub-test003,test,T0,trial19,950.5695924067616,item4
sub-test003,test,T0,trial20,970.5695924067616,item4
sub-test003,test,T1,trial1,570.7563293659985,item1
sub-test003,test,T1,trial2,570.7563293659985,item1
sub-test003,test,T1,trial3,580.7563293659985,item1
sub-test003,test,T1,trial4,580.7563293659985,item1
sub-test003,test,T1,trial5,580.7563293659985,item1
sub-test003,test,T1,trial6,590.7563293659985,item2
sub-test003,test,T1,trial7,590.7563293659985,item2
sub-test003,test,T1,trial8,590.7563293659985,item2
sub-test003,test,T1,trial9,590.7563293659985,item2
sub-test003,test,T1,trial10,600.7563293659985,item2
sub-test003,test,T1,trial11,600.7563293659985,item3
sub-test003,test,T1,trial12,600.7563293659985,item3
sub-test003,test,T1,trial13,610.7563293659985,item3
sub-test003,test,T1,trial14,610.7563293659985,item3
sub-test003,test,T1,trial15,610.7563293659985,item3
sub-test003,test,T1,trial16,620.7563293659985,item4
sub-test003,test,T1,trial17,620.7563293659985,item4
sub-test003,test,T1,trial18,620.7563293659985,item4
sub-test003,test,T1,trial19,630.7563293659985,item4
sub-test003,test,T1,trial20,650.7563293659985,item4
sub-control004,control,T0,trial1,926.07167766053,item1
sub-control004,control,T0,trial2,926.07167766053,item1
sub-control004,control,T0,trial3,936.07167766053,item1
sub-control004,control,T0,trial4,936.07167766053,item1
sub-control004,control,T0,trial5,936.07167766053,item1
sub-control004,control,T0,trial6,946.07167766053,item2
sub-control004,control,T0,trial7,946.07167766053,item2
sub-control004,control,T0,trial8,946.07167766053,item2
sub-control004,control,T0,trial9,946.07167766053,item2
sub-control004,control,T0,trial10,956.07167766053,item2
sub-control004,control,T0,trial11,956.07167766053,item3
sub-control004,control,T0,trial12,956.07167766053,item3
sub-control004,control,T0,trial13,966.07167766053,item3
sub-control004,control,T0,trial14,966.07167766053,item3
sub-control004,control,T0,trial15,966.07167766053,item3
sub-control004,control,T0,trial16,976.07167766053,item4
sub-control004,control,T0,trial17,976.07167766053,item4
sub-control004,control,T0,trial18,976.07167766053,item4
sub-control004,control,T0,trial19,986.07167766053,item4
sub-control004,control,T0,trial20,1006.07167766053,item4
sub-control004,control,T1,trial1,795.7718416727886,item1
sub-control004,control,T1,trial2,795.7718416727886,item1
sub-control004,control,T1,trial3,805.7718416727886,item1
sub-control004,control,T1,trial4,805.7718416727886,item1
sub-control004,control,T1,trial5,805.7718416727886,item1
sub-control004,control,T1,trial6,815.7718416727886,item2
sub-control004,control,T1,trial7,815.7718416727886,item2
sub-control004,control,T1,trial8,815.7718416727886,item2
sub-control004,control,T1,trial9,815.7718416727886,item2
sub-control004,control,T1,trial10,825.7718416727886,item2
sub-control004,control,T1,trial11,825.7718416727886,item3
sub-control004,control,T1,trial12,825.7718416727886,item3
sub-control004,control,T1,trial13,835.7718416727886,item3
sub-control004,control,T1,trial14,835.7718416727886,item3
sub-control004,control,T1,trial15,835.7718416727886,item3
sub-control004,control,T1,trial16,845.7718416727886,item4
sub-control004,control,T1,trial17,845.7718416727886,item4
sub-control004,control,T1,trial18,845.7718416727886,item4
sub-control004,control,T1,trial19,855.7718416727886,item4
sub-control004,control,T1,trial20,875.7718416727886,item4
sub-test004,test,T0,trial1,900.9815729080094,item1
sub-test004,test,T0,trial2,900.9815729080094,item1
sub-test004,test,T0,trial3,910.9815729080094,item1
sub-test004,test,T0,trial4,910.9815729080094,item1
sub-test004,test,T0,trial5,910.9815729080094,item1
sub-test004,test,T0,trial6,920.9815729080094,item2
sub-test004,test,T0,trial7,920.9815729080094,item2
sub-test004,test,T0,trial8,920.9815729080094,item2
sub-test004,test,T0,trial9,920.9815729080094,item2
sub-test004,test,T0,trial10,930.9815729080094,item2
sub-test004,test,T0,trial11,930.9815729080094,item3
sub-test004,test,T0,trial12,930.9815729080094,item3
sub-test004,test,T0,trial13,940.9815729080094,item3
sub-test004,test,T0,trial14,940.9815729080094,item3
sub-test004,test,T0,trial15,940.9815729080094,item3
sub-test004,test,T0,trial16,950.9815729080094,item4
sub-test004,test,T0,trial17,950.9815729080094,item4
sub-test004,test,T0,trial18,950.9815729080094,item4
sub-test004,test,T0,trial19,960.9815729080094,item4
sub-test004,test,T0,trial20,980.9815729080094,item4
sub-test004,test,T1,trial1,599.21166121812,item1
sub-test004,test,T1,trial2,599.21166121812,item1
sub-test004,test,T1,trial3,609.21166121812,item1
sub-test004,test,T1,trial4,609.21166121812,item1
sub-test004,test,T1,trial5,609.21166121812,item1
sub-test004,test,T1,trial6,619.21166121812,item2
sub-test004,test,T1,trial7,619.21166121812,item2
sub-test004,test,T1,trial8,619.21166121812,item2
sub-test004,test,T1,trial9,619.21166121812,item2
sub-test004,test,T1,trial10,629.21166121812,item2
sub-test004,test,T1,trial11,629.21166121812,item3
sub-test004,test,T1,trial12,629.21166121812,item3
sub-test004,test,T1,trial13,639.21166121812,item3
sub-test004,test,T1,trial14,639.21166121812,item3
sub-test004,test,T1,trial15,639.21166121812,item3
sub-test004,test,T1,trial16,649.21166121812,item4
sub-test004,test,T1,trial17,649.21166121812,item4
sub-test004,test,T1,trial18,649.21166121812,item4
sub-test004,test,T1,trial19,659.21166121812,item4
sub-test004,test,T1,trial20,679.21166121812,item4
sub-control005,control,T0,trial1,926.7039345201518,item1
sub-control005,control,T0,trial2,926.7039345201518,item1
sub-control005,control,T0,trial3,936.7039345201518,item1
sub-control005,control,T0,trial4,936.7039345201518,item1
sub-control005,control,T0,trial5,936.7039345201518,item1
sub-control005,control,T0,trial6,946.7039345201518,item2
sub-control005,control,T0,trial7,946.7039345201518,item2
sub-control005,control,T0,trial8,946.7039345201518,item2
sub-control005,control,T0,trial9,946.7039345201518,item2
sub-control005,control,T0,trial10,956.7039345201518,item2
sub-control005,control,T0,trial11,956.7039345201518,item3
sub-control005,control,T0,trial12,956.7039345201518,item3
sub-control005,control,T0,trial13,966.7039345201518,item3
sub-control005,control,T0,trial14,966.7039345201518,item3
sub-control005,control,T0,trial15,966.7039345201518,item3
sub-control005,control,T0,trial16,976.7039345201518,item4
sub-control005,control,T0,trial17,976.7039345201518,item4
sub-control005,control,T0,trial18,976.7039345201518,item4
sub-control005,control,T0,trial19,986.7039345201518,item4
sub-control005,control,T0,trial20,1006.7039345201518,item4
sub-control005,control,T1,trial1,807.8715946527096,item1
sub-control005,control,T1,trial2,807.8715946527096,item1
sub-control005,control,T1,trial3,817.8715946527096,item1
sub-control005,control,T1,trial4,817.8715946527096,item1
sub-control005,control,T1,trial5,817.8715946527096,item1
sub-control005,control,T1,trial6,827.8715946527096,item2
sub-control005,control,T1,trial7,827.8715946527096,item2
sub-control005,control,T1,trial8,827.8715946527096,item2
sub-control005,control,T1,trial9,827.8715946527096,item2
sub-control005,control,T1,trial10,837.8715946527096,item2
sub-control005,control,T1,trial11,837.8715946527096,item3
sub-control005,control,T1,trial12,837.8715946527096,item3
sub-control005,control,T1,trial13,847.8715946527096,item3
sub-control005,control,T1,trial14,847.8715946527096,item3
sub-control005,control,T1,trial15,847.8715946527096,item3
sub-control005,control,T1,trial16,857.8715946527096,item4
sub-control005,control,T1,trial17,857.8715946527096,item4
sub-control005,control,T1,trial18,857.8715946527096,item4
sub-control005,control,T1,trial19,867.8715946527096,item4
sub-control005,control,T1,trial20,887.8715946527096,item4
sub-test005,test,T0,trial1,912.0363529995484,item1
sub-test005,test,T0,trial2,912.0363529995484,item1
sub-test005,test,T0,trial3,922.0363529995484,item1
sub-test005,test,T0,trial4,922.0363529995484,item1
sub-test005,test,T0,trial5,922.0363529995484,item1
sub-test005,test,T0,trial6,932.0363529995484,item2
sub-test005,test,T0,trial7,932.0363529995484,item2
sub-test005,test,T0,trial8,932.0363529995484,item2
sub-test005,test,T0,trial9,932.0363529995484,item2
sub-test005,test,T0,trial10,942.0363529995484,item2
sub-test005,test,T0,trial11,942.0363529995484,item3
sub-test005,test,T0,trial12,942.0363529995484,item3
sub-test005,test,T0,trial13,952.0363529995484,item3
sub-test005,test,T0,trial14,952.0363529995484,item3
sub-test005,test,T0,trial15,952.0363529995484,item3
sub-test005,test,T0,trial16,962.0363529995484,item4
sub-test005,test,T0,trial17,962.0363529995484,item4
sub-test005,test,T0,trial18,962.0363529995484,item4
sub-test005,test,T0,trial19,972.0363529995484,item4
sub-test005,test,T0,trial20,992.0363529995484,item4
sub-test005,test,T1,trial1,616.4542991230148,item1
sub-test005,test,T1,trial2,616.4542991230148,item1
sub-test005,test,T1,trial3,626.4542991230148,item1
sub-test005,test,T1,trial4,626.4542991230148,item1
sub-test005,test,T1,trial5,626.4542991230148,item1
sub-test005,test,T1,trial6,636.4542991230148,item2
sub-test005,test,T1,trial7,636.4542991230148,item2
sub-test005,test,T1,trial8,636.4542991230148,item2
sub-test005,test,T1,trial9,636.4542991230148,item2
sub-test005,test,T1,trial10,646.4542991230148,item2
sub-test005,test,T1,trial11,646.4542991230148,item3
sub-test005,test,T1,trial12,646.4542991230148,item3
sub-test005,test,T1,trial13,656.4542991230148,item3
sub-test005,test,T1,trial14,656.4542991230148,item3
sub-test005,test,T1,trial15,656.4542991230148,item3
sub-test005,test,T1,trial16,666.4542991230148,item4
sub-test005,test,T1,trial17,666.4542991230148,item4
sub-test005,test,T1,trial18,666.4542991230148,item4
sub-test005,test,T1,trial19,676.4542991230148,item4
sub-test005,test,T1,trial20,696.4542991230148,item4
sub-control006,control,T0,trial1,927.9267563892973,item1
sub-control006,control,T0,trial2,927.9267563892973,item1
sub-control006,control,T0,trial3,937.9267563892973,item1
sub-control006,control,T0,trial4,937.9267563892973,item1
sub-control006,control,T0,trial5,937.9267563892973,item1
sub-control006,control,T0,trial6,947.9267563892973,item2
sub-control006,control,T0,trial7,947.9267563892973,item2
sub-control006,control,T0,trial8,947.9267563892973,item2
sub-control006,control,T0,trial9,947.9267563892973,item2
sub-control006,control,T0,trial10,957.9267563892973,item2
sub-control006,control,T0,trial11,957.9267563892973,item3
sub-control006,control,T0,trial12,957.9267563892973,item3
sub-control006,control,T0,trial13,967.9267563892973,item3
sub-control006,control,T0,trial14,967.9267563892973,item3
sub-control006,control,T0,trial15,967.9267563892973,item3
sub-control006,control,T0,trial16,977.9267563892973,item4
sub-control006,control,T0,trial17,977.9267563892973,item4
sub-control006,control,T0,trial18,977.9267563892973,item4
sub-control006,control,T0,trial19,987.9267563892973,item4
sub-control006,control,T0,trial20,1007.9267563892973,item4
sub-control006,control,T1,trial1,811.3686580732135,item1
sub-control006,control,T1,trial2,811.3686580732135,item1
sub-control006,control,T1,trial3,821.3686580732135,item1
sub-control006,control,T1,trial4,821.3686580732135,item1
sub-control006,control,T1,trial5,821.3686580732135,item1
sub-control006,control,T1,trial6,831.3686580732135,item2
sub-control006,control,T1,trial7,831.3686580732135,item2
sub-control006,control,T1,trial8,831.3686580732135,item2
sub-control006,control,T1,trial9,831.3686580732135,item2
sub-control006,control,T1,trial10,841.3686580732135,item2
sub-control006,control,T1,trial11,841.3686580732135,item3
sub-control006,control,T1,trial12,841.3686580732135,item3
sub-control006,control,T1,trial13,851.3686580732135,item3
sub-control006,control,T1,trial14,851.3686580732135,item3
sub-control006,control,T1,trial15,851.3686580732135,item3
sub-control006,control,T1,trial16,861.3686580732135,item4
sub-control006,control,T1,trial17,861.3686580732135,item4
sub-control006,control,T1,trial18,861.3686580732135,item4
sub-control006,control,T1,trial19,871.3686580732135,item4
sub-control006,control,T1,trial20,891.3686580732135,item4
sub-test006,test,T0,trial1,921.3520115199799,item1
sub-test006,test,T0,trial2,921.3520115199799,item1
sub-test006,test,T0,trial3,931.3520115199799,item1
sub-test006,test,T0,trial4,931.3520115199799,item1
sub-test006,test,T0,trial5,931.3520115199799,item1
sub-test006,test,T0,trial6,941.3520115199799,item2
sub-test006,test,T0,trial7,941.3520115199799,item2
sub-test006,test,T0,trial8,941.3520115199799,item2
sub-test006,test,T0,trial9,941.3520115199799,item2
sub-test006,test,T0,trial10,951.3520115199799,item2
sub-test006,test,T0,trial11,951.3520115199799,item3
sub-test006,test,T0,trial12,951.3520115199799,item3
sub-test006,test,T0,trial13,961.3520115199799,item3
sub-test006,test,T0,trial14,961.3520115199799,item3
sub-test006,test,T0,trial15,961.3520115199799,item3
sub-test006,test,T0,trial16,971.3520115199799,item4
sub-test006,test,T0,trial17,971.3520115199799,item4
sub-test006,test,T0,trial18,971.3520115199799,item4
sub-test006,test,T0,trial19,981.3520115199799,item4
sub-test006,test,T0,trial20,1001.3520115199799,item4
sub-test006,test,T1,trial1,629.653096405719,item1
sub-test006,test,T1,trial2,629.653096405719,item1
sub-test006,test,T1,trial3,639.653096405719,item1
sub-test006,test,T1,trial4,639.653096405719,item1
sub-test006,test,T1,trial5,639.653096405719,item1
sub-test006,test,T1,trial6,649.653096405719,item2
sub-test006,test,T1,trial7,649.653096405719,item2
sub-test006,test,T1,trial8,649.653096405719,item2
sub-test006,test,T1,trial9,649.653096405719,item2
sub-test006,test,T1,trial10,659.653096405719,item2
sub-test006,test,T1,trial11,659.653096405719,item3
sub-test006,test,T1,trial12,659.653096405719,item3
sub-test006,test,T1,trial13,669.653096405719,item3
sub-test006,test,T1,trial14,669.653096405719,item3
sub-test006,test,T1,trial15,669.653096405719,item3
sub-test006,test,T1,trial16,679.653096405719,item4
sub-test006,test,T1,trial17,679.653096405719,item4
sub-test006,test,T1,trial18,679.653096405719,item4
sub-test006,test,T1,trial19,689.653096405719,item4
sub-test006,test,T1,trial20,709.653096405719,item4
sub-control007,control,T0,trial1,928.8447380213869,item1
sub-control007,control,T0,trial2,928.8447380213869,item1
sub-control007,control,T0,trial3,938.8447380213869,item1
sub-control007,control,T0,trial4,938.8447380213869,item1
sub-control007,control,T0,trial5,938.8447380213869,item1
sub-control007,control,T0,trial6,948.8447380213869,item2
sub-control007,control,T0,trial7,948.8447380213869,item2
sub-control007,control,T0,trial8,948.8447380213869,item2
sub-control007,control,T0,trial9,948.8447380213869,item2
sub-control007,control,T0,trial10,958.8447380213869,item2
sub-control007,control,T0,trial11,958.8447380213869,item3
sub-control007,control,T0,trial12,958.8447380213869,item3
sub-control007,control,T0,trial13,968.8447380213869,item3
sub-control007,control,T0,trial14,968.8447380213869,item3
sub-control007,control,T0,trial15,968.8447380213869,item3
sub-control007,control,T0,trial16,978.8447380213869,item4
sub-control007,control,T0,trial17,978.8447380213869,item4
sub-control007,control,T0,trial18,978.8447380213869,item4
sub-control007,control,T0,trial19,988.8447380213869,item4
sub-control007,control,T0,trial20,1008.8447380213869,item4
sub-control007,control,T1,trial1,817.3824797731271,item1
sub-control007,control,T1,trial2,817.3824797731271,item1
sub-control007,control,T1,trial3,827.3824797731271,item1
sub-control007,control,T1,trial4,827.3824797731271,item1
sub-control007,control,T1,trial5,827.3824797731271,item1
sub-control007,control,T1,trial6,837.3824797731271,item2
sub-control007,control,T1,trial7,837.3824797731271,item2
sub-control007,control,T1,trial8,837.3824797731271,item2
sub-control007,control,T1,trial9,837.3824797731271,item2
sub-control007,control,T1,trial10,847.3824797731271,item2
sub-control007,control,T1,trial11,847.3824797731271,item3
sub-control007,control,T1,trial12,847.3824797731271,item3
sub-control007,control,T1,trial13,857.3824797731271,item3
sub-control007,control,T1,trial14,857.3824797731271,item3
sub-control007,control,T1,trial15,857.3824797731271,item3
sub-control007,control,T1,trial16,867.3824797731271,item4
sub-control007,control,T1,trial17,867.3824797731271,item4
sub-control007,control,T1,trial18,867.3824797731271,item4
sub-control007,control,T1,trial19,877.3824797731271,item4
sub-control007,control,T1,trial20,897.3824797731271,item4
sub-test007,test,T0,trial1,932.5641661553914,item1
sub-test007,test,T0,trial2,932.5641661553914,item1
sub-test007,test,T0,trial3,942.5641661553914,item1
sub-test007,test,T0,trial4,942.5641661553914,item1
sub-test007,test,T0,trial5,942.5641661553914,item1
sub-test007,test,T0,trial6,952.5641661553914,item2
sub-test007,test,T0,trial7,952.5641661553914,item2
sub-test007,test,T0,trial8,952.5641661553914,item2
sub-test007,test,T0,trial9,952.5641661553914,item2
sub-test007,test,T0,trial10,962.5641661553914,item2
sub-test007,test,T0,trial11,962.5641661553914,item3
sub-test007,test,T0,trial12,962.5641661553914,item3
sub-test007,test,T0,trial13,972.5641661553914,item3
sub-test007,test,T0,trial14,972.5641661553914,item3
sub-test007,test,T0,trial15,972.5641661553914,item3
sub-test007,test,T0,trial16,982.5641661553914,item4
sub-test007,test,T0,trial17,982.5641661553914,item4
sub-test007,test,T0,trial18,982.5641661553914,item4
sub-test007,test,T0,trial19,992.5641661553914,item4
